-- ========================
-- 1.1
-- ========================
name
BUSRULE_VERSIONS
CEB_HOST_VERSION
ENVELOPE_VERSIONS
ERL_VERSION
MAP_VERSIONS
PLT_APPLICATION_VERSION
RPT_CONFIG_VERSION
SCHEMA_VERSIONS
SI_VERSION
SI_VERSION_RESTORE
TEMPLATE_VERSIONS
VERSION
WFD_VERSIONS
YFS_CONFIG_VERSION_LABEL
YFS_CURRENCY_CONVERSION
YFS_UOM_CONVERSION

--results of all from SI_VERSION (most likely candidate from above):
PRODUCT_LABEL	BUILD_NUMBER	LIC_PROD_VER	SI_INSTALL_DATE	SI_COMMENTS
B2BF	6010000	6_1	2021-03-23 09:24:47.773	B2BF update
EBICS_CLIENT	1000	1_0	2021-03-23 09:43:46.667	EBICS_CLIENT update
Ebics	6010000	6_1	2021-03-23 09:43:17.563	Ebics update
FileGateway	6010000	6_1	2021-03-23 09:44:59.320	FileGateway update
PLATFORM	6100	6_0	2021-03-23 09:22:13.447	IBM Sterling Application Platform
SI	6010000	6_1	2021-03-23 09:33:40.773	SI update
SI_Install_Base	6010000	6.1.0.0	2021-03-23 09:12:22.597	New Media - 6.1.0.0
SI_MOBILE	6010000	6_1	2021-03-23 09:35:25.780	SI_MOBILE installation
STDS_TX	6010000	6_1	2021-03-23 09:35:26.717	STDS_TX update
STUDIO	1020400	1_2	2021-03-23 09:01:55.180	STUDIO installation
Standards	6010000	6_1	2021-03-23 09:39:23.490	Standards update
Translator	6010000	6_1	2021-03-23 09:35:29.210	Translator update
asset	6010000	6_1	2021-03-23 09:28:41.430	asset update
b2b_aee	6010000	6_1	2021-03-23 09:24:49.627	b2b_aee update
b2b_base	6010000	6_1	2021-03-23 09:24:54.597	b2b_base update
b2b_oba	6010000	6_1	2021-03-23 09:26:47.420	b2b_oba update
ebicsclient	6010000	6_1	2021-03-23 09:43:19.370	ebicsclient update
licensed_product	6100	6.0	2021-03-23 09:22:53.193	The product for high level application.
mailbox	6010000	6_1	2021-03-23 09:28:04.430	mailbox update
perimeter	6010000	6_1	2021-03-23 09:27:15.623	perimeter update
platform_activemq	6010000	6_1	2021-03-23 09:22:57.117	platform_activemq update
platform_afc	6100	6_1	2021-03-23 09:22:20.323	platform_afc update
platform_afc_security	6000	6_0	2021-03-23 09:22:22.097	platform_afc_security update
platform_aop	6010000	6_1	2021-03-23 09:24:45.827	platform_aop update
platform_asi	6010000	6_1	2021-03-23 09:23:02.833	platform_asi update
platform_ifc	6010000	6_1	2021-03-23 09:22:26.677	platform_ifc update
platform_ifcbase	6010000	6_1	2021-03-23 09:22:55.163	platform_ifcbase update
platform_ifcresources	6010000	6_1	2021-03-23 09:23:32.550	platform_ifcresources update
platform_ifcui	6010000	6_1	2021-03-23 09:23:30.413	platform_ifcui update
platform_osgi	6010000	6_1	2021-03-23 09:23:05.460	platform_osgi update
platform_security	6010000	6_1	2021-03-23 09:22:28.633	platform_security update
platform_services	6010000	6_1	2021-03-23 09:22:58.820	platform_services update

-- ========================
-- 1.2
-- ========================
table_name	row_count	total_mb	used_mb
TRANS_DATA_RESTORE	3435924	18121	18120
TRANS_DATA	2254362	12319	12071
DATA_FLOW_GUID	1206239	87	85
ACT_SESSION_GUID	899372	65	64
WFC_S_RESTORE	825702	548	547
WORKFLOW_CONTEXT	519321	565	557
DOCUMENT_RESTORE	511332	187	187
DOCUMENT	348951	182	175
DOC_EXT_RESTORE	328298	114	113
DOCUMENT_EXTENSION	235387	98	95
EDI_ELEMENT_CODES	109248	13	12
TUNING_PROP_GUID	100364	7	7
DATA_TABLE	99990	387	385
ARCHIVE_INFO	80646	8	3
CORREL_SET_RESTORE	74359	21	21
ACT_NON_XFER	48812	21	20
CORRELATION_SET	47550	17	16
CODELIST_XREF_ITEM	45962	4	4
ACT_XFER	33822	32	32
ACTIVITY_INFO	33713	5	4
DATA_FLOW	30185	10	10
WF_INST_S_RESTORE	23468	5	5
YFS_USER_ACT_AUDIT	22004	9	9
ACT_SESSION	17414	9	8
ACT_AUTHENTICATE	17384	6	6
WF_INST_S	14499	5	4
EDI_ELEMENT_USAGE	12398	0	0
WORKFLOW_LINKAGE	11225	2	1
ARCHIVE_INFO_WRK2	7379	0	0
MAP	5682	4	3
MDLR_PAL_ITEM_DESC	4777	1	1
MAPPER_ERL_XREF	4612	2	1
SERVICE_PARM_LIST	3025	0	0
YFS_RESOURCE	3018	1	1
RESOURCE_CHECKSUM	2589	0	0
WFD	2467	1	1
WFD_XML	2466	0	0
MAP_VERSIONS	2428	0	0
SERVICE_INST_PARMS	2337	0	0
WF_INACTIVE	1746	0	0
WFD_GUID_UNIQUEID	1545	0	0
WFD_VERSIONS	1432	0	0
YFS_RESOURCE_PERMISSION	1330	0	0
MDLR_PAL_LIST	981	0	0
TUNING_PROPERTIES	932	0	0
TUNING_PREV_PROPERTIES	912	0	0
ADMIN_AUDIT	774	0	0
PIP_STEP	720	0	0
SCHEDULE	605	0	0
SERVICE_DEF_PARMS	571	0	0
RPT_FILTER	564	0	0
SERVICE_IMPL	476	0	0
SERVICE_INSTANCE	476	0	0
SERVICE_INST_GUID	476	0	0
SERVICE_DEF	450	0	0
SERVICE_DEF_GUID	450	0	0
MDLR_PAL_MENU_DESC	449	0	0
YFS_HEARTBEAT	422	0	0
YFS_ERROR_CODE	421	0	0
RPT_LIST	398	0	0
YFS_ERROR_CAUSE_ACTION	345	0	0
YFS_COMMON_CODE	299	0	0
YFS_USER_GROUP_LIST	289	0	0
XMLSCHEMAS	272	0	0
PIP_DEF	253	0	0
SCHEMA_VERSIONS	243	0	0
TEMPLATE	229	0	0
CEB_EVENT_CD	228	0	0
CEB_ORD_TYPE	211	0	0
CORREL_KEY	207	0	0
RPT_TEMPLATE	192	0	0
YFS_MENU	166	0	0
YFS_USER_ACTIVITY	149	0	0
TEMPLATE_VERSIONS	146	0	0
YFS_STATISTICS_DETAIL	144	0	0
SFTP_PROF_XREF_KHOST_KEY	130	0	0
SFTP_PROF	128	0	0
CODE_LIST_XREF	121	0	0
CEB_ORD_FORMAT	119	0	0
EB_ORD_FORMAT	118	0	0
