-- ========================
-- 3.1
-- ========================
column_name	data_type	max_length	is_nullable	column_id
WFD_ID	int	4	0	1
WFD_VERSION	int	4	0	2
NAME	nvarchar	510	0	3
DESCRIPTION	nvarchar	510	0	4
EDITED_BY	nvarchar	72	1	5
STATUS	int	4	0	6
TYPE	int	4	0	7
MOD_DATE	datetime	8	1	8
LIFE_SPAN	numeric	9	0	9
REMOVAL_METHOD	int	4	0	10
PERSISTENCE_LEVEL	int	4	0	11
ENCODING	nvarchar	48	1	12
RECOVERY_LEVEL	int	4	0	13
SOFTSTOP_RECOVER	int	4	0	14
ONFAULT	nvarchar	20	1	15
PRIORITY	int	4	0	16
DOCTRACKING	nvarchar	20	1	17
WFDOPTIONS	int	4	0	18
DEADLINE_INTVL	int	4	0	19
FIRST_NOTE	int	4	0	20
SECOND_NOTE	int	4	0	21
EVENT_LEVEL	int	4	0	22
EXECNODE	nvarchar	64	1	23
CATEGORY	nvarchar	128	1	24
ORGANIZATION_KEY	nvarchar	510	0	25
EXPEDITE	nvarchar	20	1	26

-- ========================
-- 3.2
-- ========================
WFD_ID	WFD_VERSION	NAME	DESCRIPTION	EDITED_BY	STATUS	TYPE	MOD_DATE	LIFE_SPAN	REMOVAL_METHOD	PERSISTENCE_LEVEL	ENCODING	RECOVERY_LEVEL	SOFTSTOP_RECOVER	ONFAULT	PRIORITY	DOCTRACKING	WFDOPTIONS	DEADLINE_INTVL	FIRST_NOTE	SECOND_NOTE	EVENT_LEVEL	EXECNODE	CATEGORY	ORGANIZATION_KEY	EXPEDITE
1	1	Schedule_DBMonitorService	Schedule_DBMonitorService	NULL	1	101	2021-03-23 08:59:32.510	-1	-1	3	NULL	3	103	false	4	false	4	-1	-1	-1	2	NULL	NULL	 	NULL
1	2	Schedule_DBMonitorService	created via command line	NULL	1	101	2021-03-23 08:59:34.430	-1	1	3	NULL	3	103	false	4	false	4	-1	-1	-1	2	NULL	NULL	 	NULL
1	3	Schedule_DBMonitorService	created via command line	NULL	1	101	2021-03-23 09:23:49.573	-1	1	3	NULL	3	103	false	4	false	4	-1	-1	-1	2	NULL	NULL	 	false
1	4	Schedule_DBMonitorService	updated by archive manager	admin	1	101	2022-11-09 08:37:04.123	-1	0	3	NULL	3	103	false	4	false	4	-1	-1	-1	2	NULL	NULL	 	false
2	1	Schedule_IWFCDriverService	Schedule_IWFCDriverService	NULL	1	101	2021-03-23 08:59:32.773	-1	-1	3	NULL	3	103	false	4	false	4	-1	-1	-1	2	NULL	NULL	 	NULL

-- ========================
-- 3.3
-- ========================
family	wfd_count
FA_*	1275
OTHER	1084
Schedule_*	51
EDIINT/AS2/AS3	28
Mailbox	25
Housekeeping	4

-- ========================
-- 3.4
-- ========================
workflow_name	WFD_ID	instance_count	oldest	newest
FA_CLIENTS_MAIN	798	113040	2026-04-22 06:30:02.657	2026-04-24 06:16:02.230
FA_CLIENTS_ARCHIVE	795	46560	2026-04-22 06:33:30.607	2026-04-24 06:13:30.973
FA_CLIENTS_VITAL	800	34587	2026-04-22 06:27:28.490	2026-04-24 06:13:30.800
FA_CLIENTS_EMAIL	794	5616	2026-04-22 06:35:05.143	2026-04-24 06:06:20.310
FileGatewayReroute	791	1146	2026-04-22 06:30:56.703	2026-04-24 06:13:45.350
Schedule_AssociateBPsToDocs	3	1144	2026-04-22 06:35:52.477	2026-04-24 06:08:42.783
Schedule_IndexBusinessProcessService	11	1144	2026-04-22 06:35:52.477	2026-04-24 06:08:42.050
FA_DM_ENOTICE	818	648	2026-04-22 07:15:01.093	2026-04-23 15:15:00.683
FA_CLIENTS_GET_LIST	797	627	2026-04-22 07:05:00.060	2026-04-24 06:05:00.713
FileGatewayListeningProducer	789	573	2026-04-22 06:30:56.720	2026-04-24 06:13:45.350
Schedule_PurgeService	8	572	2026-04-22 06:45:47.773	2026-04-24 06:05:51.580
FA_FROM_CLIENTS_FTP_FILES_LIST_IB_D2S_RC_ARC	1352	273	2026-04-22 06:36:00.703	2026-04-24 06:16:00.330
FA_FROM_CLIENTS_FTP_FILES_LIST_IB_D2S_RC	1321	261	2026-04-22 06:33:00.263	2026-04-24 06:13:00.727
Schedule_BPExpirator	6	192	2026-04-22 06:30:52.777	2026-04-24 06:16:38.817
TimeoutEvent	18	192	2026-04-22 06:30:52.793	2026-04-24 06:16:38.817
FA_CLIENTS_JIRA_TICKETS	821	192	2026-04-22 06:30:00.050	2026-04-24 05:30:00.670
Recover.bpml	12	128	2026-04-22 06:30:52.747	2026-04-24 05:45:55.163
FA_FROM_ACADIA_HEALTHCARE_IB_EO	1503	104	2026-04-22 08:00:00.747	2026-04-23 14:00:00.917
Schedule_MessagePurge	330	96	2026-04-22 06:45:47.150	2026-04-24 06:15:48.130
Schedule_DocumentStatsArchive	332	96	2026-04-22 06:45:47.167	2026-04-24 06:15:48.130
Schedule_Scheduled_AlertService	680	96	2026-04-22 06:45:48.223	2026-04-24 06:16:35.587
Alert	682	96	2026-04-22 06:45:50.260	2026-04-24 06:16:35.587
FA_FROM_REVSPRING_IB_BD_PULL	1289	84	2026-04-22 07:00:00.653	2026-04-24 06:00:00.050
FA_TO_LIVEVOX_IVR_CNSMR_LIST_OB_BD_S2D_NT	1420	66	2026-04-22 06:40:00.837	2026-04-24 06:10:00.197
Schedule_BPRecovery	5	64	2026-04-22 06:30:52.747	2026-04-24 05:45:55.163
FA_CLIENTS_ENCOUNTER_LOAD	829	60	2026-04-22 07:05:11.833	2026-04-24 04:45:17.647
FA_FROM_ONE_GI_IB_EO_D2S	1359	54	2026-04-22 06:30:00.690	2026-04-23 16:30:00.837
FA_TO_HSS_VISPA_OB_EO_PUSH	1364	48	2026-04-22 06:52:00.750	2026-04-24 03:52:00.990
FA_FROM_MONUMENT_HEALTH_IB_EO_PULL	933	44	2026-04-22 07:30:00.097	2026-04-23 17:30:00.270
FA_FROM_REVSPRING_SIMPLE_EMAIL	1403	38	2026-04-22 06:35:00.067	2026-04-24 05:35:00.473
FA_FROM_SENDRIGHT_ACK_RESP_IB_BDEO_D2X_BDL	1478	30	2026-04-23 01:50:00.883	2026-04-24 01:50:00.913
FA_CCI_SFTP_FILE_LIST_EMAIL	927	30	2026-04-22 09:00:00.137	2026-04-24 06:00:00.363
AlertNotification	683	28	2026-04-22 07:15:50.627	2026-04-24 04:46:38.987
FA_FROM_WOMANS_HOSPITAL_IB_BD_PULL	970	26	2026-04-22 06:47:00.137	2026-04-23 18:47:00.530
FA_FROM_WOMANS_HOSPITAL_EPIC_IB_BD_PULL	1356	26	2026-04-22 06:42:00.697	2026-04-23 18:42:00.077
Schedule_PartialDocumentCleanUpService	331	24	2026-04-22 07:45:47.020	2026-04-24 05:45:47.330
FA_FROM_INCEPTION_IB_EO_PULL	837	20	2026-04-22 07:20:01.040	2026-04-23 16:20:00.623
FA_FROM_UNIVERSITY_OF_MISSOURI_IB_BD_PULL	948	18	2026-04-22 09:30:00.087	2026-04-23 15:30:00.180
FA_HSS_HB_IB_EOBD	1454	18	2026-04-22 13:30:00.713	2026-04-23 13:30:00.753
FA_HSS_SBO_IB_EOBD_D2S_RC	1518	18	2026-04-22 11:00:00.753	2026-04-23 15:00:00.887
FA_MEDICAL_CENTER_HEALTH_IB_BD_NB	1465	16	2026-04-22 10:15:00.733	2026-04-23 10:15:00.740
FA_FROM_MERCY_DATAARK_IB_BD_PULL	1216	16	2026-04-22 07:23:00.620	2026-04-23 23:23:00.873
Schedule_IWFCDriverService	2	16	2026-04-22 08:45:48.043	2026-04-24 05:45:48.393
FA_DM_ITS_REQST	811	16	2026-04-22 12:01:01.007	2026-04-23 12:01:00.043
FA_MONUMENT_HEALTH_IB_EO	1058	14	2026-04-22 12:15:00.167	2026-04-23 12:15:00.190
EmailOnError	685	12	2026-04-22 07:05:15.537	2026-04-24 04:41:30.217
FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2S_TR	1223	12	2026-04-22 06:53:00.583	2026-04-24 05:53:00.667
FA_FULL_INVENTORY_INCEPTION_IB_EO	1323	12	2026-04-22 13:55:00.660	2026-04-23 13:55:00.680
FA_HSS_PB_IB_EO	1453	10	2026-04-22 13:35:00.713	2026-04-23 13:35:00.733
FA_FROM_VANDERBILT_NEWLIGHT_IB_EO_NB_RC	1450	10	2026-04-22 09:10:00.813	2026-04-23 09:10:00.860
FA_FROM_ONE_GI_IB_EO_PULL	1360	10	2026-04-22 08:15:00.750	2026-04-24 06:15:00.950
FA_TO_MEDICAL_CENTER_HEALTH_SYSTEM_HEALTHFUSE_OB_BD_S2D_SP	1393	10	2026-04-22 14:08:00.707	2026-04-23 14:08:00.747
FA_HSS_INSURANCE_FOLLOWUP_IB_EO_D2S_RC	1381	8	2026-04-22 12:25:00.700	2026-04-23 12:25:00.730
FA_FROM_PHIN_SOLUTIONS_GET_IB_BD_D2S_SP	1350	8	2026-04-23 05:56:00.713	2026-04-24 05:56:00.730
FA_FROM_ACCURINT_IB_BD_P2X_BDL	1429	8	2026-04-22 23:26:00.747	2026-04-23 23:26:00.780
FA_SHERIDAN_HEALTHCARE_GE_IB_BD_NB	1474	8	2026-04-22 13:15:00.737	2026-04-23 13:15:00.760
FA_CODY_REGIONAL_HOSPITAL_EPIC_IB_EO	1498	8	2026-04-22 06:51:00.743	2026-04-23 06:51:00.750
FA_PATHGROUP_LABS_IB_BD	1500	8	2026-04-22 15:00:00.750	2026-04-23 15:00:00.777
FA_INTEGRATION_TOOLS_API_FAILURES_EMAIL	1156	8	2026-04-22 12:00:00.307	2026-04-24 06:00:00.457
FA_FROM_MERCY_ENSEMBLE_SUMMIT_IB_BD_PULL	1219	8	2026-04-22 09:43:00.593	2026-04-23 09:43:00.623
Schedule_SAPTidCleaner	164	8	2026-04-22 17:45:47.877	2026-04-23 17:45:47.880
Schedule_AutoTerminateService	9	8	2026-04-23 04:00:01.003	2026-04-24 04:00:00.070
Schedule_BPLinkagePurgeService	10	8	2026-04-23 02:30:00.960	2026-04-24 02:30:00.993
FA_TO_METROPOLITAN_ANES_OB_BD_S2D_NT	874	8	2026-04-22 13:26:00.023	2026-04-23 13:26:00.063
FA_FROM_VISPA_MONUMENT_HEALTH_IB_EO_D2S_NT	992	8	2026-04-22 10:35:00.120	2026-04-23 10:35:00.127
FA_FROM_VENTRA_HEALTH_IB_BD_PULL	1515	8	2026-04-22 09:50:00.797	2026-04-23 15:50:00.883
FA_FROM_ACADIA_HEALTHCARE_IB_EO_FD	1506	6	2026-04-22 11:33:00.747	2026-04-23 11:33:00.760
FA_FROM_TRANS_UNION_PCT_IB_D2S_RC	978	6	2026-04-22 08:35:00.120	2026-04-23 08:35:00.147
FA_VANTAGE_PAY_IB_BD_FP	972	6	2026-04-22 07:15:00.103	2026-04-23 16:00:00.220
FA_RADIOLOGY_PARTNERS_IB_BD_NB_1	1032	6	2026-04-22 14:25:00.177	2026-04-23 14:25:00.210
FA_RADIOLOGY_PARTNERS_IB_BD_NB_2	1033	6	2026-04-22 15:15:00.147	2026-04-23 15:15:00.183
FA_FROM_PAY_N_SECONDS_IB_BD_D2S_TR	1146	6	2026-04-23 03:55:00.273	2026-04-24 03:55:00.310
FA_TO_ST_VINCENT_OB_BD_S2P_NT	858	6	2026-04-22 08:29:00.027	2026-04-23 08:29:00.087
FA_TO_SENDRIGHT_3P_TEXT_SEND_OB_BD_S2D	846	6	2026-04-22 09:32:01.020	2026-04-23 09:32:00.060
Schedule_BackupService	674	6	2026-04-23 02:00:01.043	2026-04-24 02:00:00.143
FA_ARNOT_HEALTH_IB_EO_NB	1310	6	2026-04-22 17:50:00.653	2026-04-23 17:50:00.707
FA_TO_DENVER_HEALTH_HEALTHFUSE_OB_BD_S2D_DIALER	1291	6	2026-04-22 14:25:00.637	2026-04-23 14:25:00.657
FA_FROM_ACADIA_HEALTHCARE_IB_BD_P2X_NB	1254	6	2026-04-22 06:35:00.583	2026-04-23 09:35:00.140
FA_FROM_ST_THOMAS_EMERGENCY_MED_IB_BD_PULL	1475	6	2026-04-22 10:00:00.767	2026-04-24 06:00:00.863
FA_TO_PHIN_SOLUTIONS_OB_BD_S2D_RT	1357	6	2026-04-22 22:05:00.727	2026-04-23 22:05:00.937
FA_TO_DENVER_HEALTH_HEALTHFUSE_SECONDARY_OB_BD_S2D_SP	1353	6	2026-04-22 14:20:00.760	2026-04-23 14:20:00.777
FA_GET_FROM_LEXIS_NEXIS_OB_BD_S2D_SP	1382	6	2026-04-22 06:30:00.707	2026-04-23 06:30:00.727
FA_TO_VANDERBILT_NEWLIGHT_STATEMENT_REVSPRING_OB_EO_S2D_SP	1401	6	2026-04-22 16:10:00.697	2026-04-23 16:10:00.727
FA_HSS_PB_IB_BD	1413	6	2026-04-22 13:40:00.710	2026-04-23 13:40:00.733
FA_TO_SENDRIGHT_TEXT_SEND_OB_EO_S2D	1415	6	2026-04-22 09:29:00.707	2026-04-23 09:29:00.727
FA_B2B_CLIENTS_PLACEMENT_EMAILS_OB_BDEO_S2S_RPT	1417	6	2026-04-22 12:00:00.730	2026-04-24 06:00:00.863
FA_FROM_REVSPRING_EMAIL_SCRUB_IB_PY	1409	4	2026-04-23 00:01:00.740	2026-04-24 00:01:00.770
FA_TO_LEXIS_NEXIS_OB_BD_S2D_RM	1410	4	2026-04-23 01:30:00.727	2026-04-24 01:30:00.750
FA_FROM_THEDACARE_BH_IB_BD_PULL	1316	4	2026-04-22 09:50:00.827	2026-04-23 10:35:01.110
FA_TO_MEMORIAL_HOSPITAL_OF_GULFPORT_DAILY_DIALER_OB_BD_S2D_RC	1485	4	2026-04-22 08:52:00.743	2026-04-23 08:52:00.760
FA_HSS_INSURANCE_FOLLOWUP_IB_EO_D2S_RT	1380	4	2026-04-22 12:15:00.730	2026-04-23 12:15:00.750
FA_TO_UNIVERSITY_HOSPITAL_OF_NEW_JERSEY_OB_BD_S2D_RTNT	1426	4	2026-04-23 03:55:00.780	2026-04-24 03:55:00.797
FA_FROM_VANDERBILT_NEWLIGHT_IB_EO_TR_RT	1449	4	2026-04-22 08:45:00.710	2026-04-23 08:45:00.747
FA_DM_ACCOUNTS_RETURN_IB_BDEO_S2X_BDL	1456	4	2026-04-22 09:40:00.717	2026-04-23 17:16:00.767
FA_TO_MAURY_REGIONAL_HEALTHFUSE_OB_BD_S2D_DIALER	1285	4	2026-04-22 10:00:00.593	2026-04-23 10:00:00.640
FA_FROM_RNN_IB_D2S_RESP	1330	4	2026-04-22 20:55:00.677	2026-04-23 20:55:00.717
FA_TO_HSS_HB_OB_BD_S2X_NT	1333	4	2026-04-23 04:30:00.753	2026-04-24 04:30:00.830
FA_CUSTOM_INT_CONSUMER_ACCOUNTS_MERGE_CLA	1155	4	2026-04-22 18:40:00.693	2026-04-23 18:40:00.737
FA_FROM_ACCRETIVE_IB_BD_PULL	1231	4	2026-04-22 08:15:00.597	2026-04-23 14:15:00.660
FA_FROM_ENSEMBLE_COVENANT_IB_BD_PULL	1237	4	2026-04-22 09:44:00.597	2026-04-23 10:29:00.663
FA_FROM_THEDACARE_IB_BD_PULL	1238	4	2026-04-22 09:45:00.590	2026-04-23 10:30:00.667
FA_TO_CCI_LEGAL_OB_BD_S2D_NT	1144	4	2026-04-22 13:00:00.257	2026-04-24 01:00:00.337
FA_FROM_MERCY_ENS_NICKLAUS_PB_IB_BD_PULL	1158	4	2026-04-22 10:40:00.240	2026-04-23 10:40:00.283
CheckExpireCertsEmailNotif	32	4	2026-04-23 02:30:00.960	2026-04-24 02:30:00.977
AFTPurgeArchiveMailboxes	696	4	2026-04-23 04:00:01.003	2026-04-24 04:00:00.040
FA_DM_INCEPTION_HOLD_TAG	815	4	2026-04-22 21:05:00.050	2026-04-23 21:05:00.097
FA_TO_DAILY_STATE_TRUST_TRANSFER_OB_S2P_RM	820	4	2026-04-22 11:45:00.997	2026-04-23 11:45:01.003
FA_TO_MERCY_ENS_THEDACARE_OB_S2D_RTNT	847	4	2026-04-22 07:16:01.010	2026-04-23 07:16:00.033
