-- ========================
-- 4.1
-- ========================
column_name	data_type	max_length	is_nullable	column_id
WF_ID	numeric	9	0	1
WF_DATE	datetime	8	0	2
REASON	int	4	0	3

-- ========================
-- 4.2
-- ========================
WF_ID	WF_DATE	REASON
3873195	2024-10-21 09:37:30.860	105
3873196	2024-10-21 09:37:31.343	105
3873197	2024-10-21 09:37:30.783	105
3873198	2024-10-21 09:37:30.877	105
3879225	2024-10-21 14:51:07.637	105
3879228	2024-10-21 14:51:07.650	105
3879230	2024-10-21 14:51:07.650	105
3879232	2024-10-21 14:51:07.637	105
3879234	2024-10-21 14:51:07.573	105
3879235	2024-10-21 14:51:07.557	105

-- ========================
-- 4.3
-- ========================
workflow_status	row_count
ORPHAN (neither)	1745
ARCHIVED_WF_INST_S	1

-- ========================
-- 4.4
-- ========================
workflow_name	WFD_ID	halted_count	oldest_start_time	newest_start_time
FA_CLIENTS_MAIN	798	1	2026-04-01 05:14:28.873	2026-04-01 05:14:28.873

-- ========================
-- 4.5
-- ========================
age_bucket	halted_count
3_LAST_30_DAYS	1
9_NO_MATCH_IN_WF_INST_S	1745

-- ========================
-- STEP 4 ADDENDUM
-- ========================
-- ========================
-- 4.A.1
-- ========================
REASON	row_count	oldest	newest
105	1746	2024-10-21 09:37:30.783	2026-04-06 19:42:36.300

-- ========================
-- 4.A.2
-- ========================
halt_date	row_count
2026-04-06	2
2026-04-01	24
2026-03-23	3
2026-03-11	4
2026-03-07	1
2026-03-03	2
2026-02-28	2
2026-02-23	6
2026-02-20	4
2026-02-18	7
2026-02-17	1
2026-02-16	6
2026-02-14	2
2026-02-11	4
2026-02-05	4
2026-01-27	7
2026-01-19	2
2026-01-18	2
2026-01-16	3
2026-01-13	1
2026-01-12	4
2026-01-06	4
2026-01-05	1
2025-12-31	2
2025-12-23	2
2025-12-16	226
2025-12-11	68
2025-12-10	4
2025-12-09	121
2025-11-26	11
2025-11-25	180
2025-11-24	414
2025-11-23	259
2025-11-19	10
2025-11-18	2
2025-11-16	1
2025-11-04	1
2025-10-17	1
2025-10-10	8
2025-09-30	3
2025-09-29	9
2025-09-25	4
2025-09-21	1
2025-09-17	4
2025-09-16	2
2025-09-15	1
2025-09-11	1
2025-09-10	4
2025-08-19	1
2025-08-18	2
2025-07-31	2
2025-07-28	4
2025-07-23	4
2025-07-07	3
2025-07-02	3
2025-07-01	1
2025-06-29	14
2025-06-27	1
2025-06-26	11
2025-06-25	2
2025-06-24	6
2025-06-23	22
2025-06-22	1
2025-06-18	1
2025-06-17	1
2025-06-16	1
2025-06-11	2
2025-06-03	3
2025-05-31	4
2025-05-30	2
2025-05-23	9
2025-05-16	5
2025-05-08	1
2025-05-02	1
2025-05-01	11
2025-04-16	4
2025-04-10	1
2025-04-07	3
2025-04-02	1
2025-03-31	12
2025-03-28	5
2025-03-26	1
2025-03-24	2
2025-03-17	16
2025-03-10	1
2025-03-07	4
2025-03-04	14
2025-02-28	2
2025-02-24	13
2025-02-19	3
2025-02-17	6
2025-02-13	3
2025-02-11	12
2025-02-05	2
2025-01-16	3
2025-01-10	1
2025-01-02	12
2024-12-26	23
2024-12-23	1
2024-12-18	3
2024-12-04	3
2024-12-03	3
2024-12-02	4
2024-11-19	2
2024-11-05	14
2024-11-03	1
2024-11-01	2
2024-10-21	16
