-- ========================
-- 6A
-- ========================
WFD_ID	NAME	latest_WFD_VERSION	version_count	latest_version_mod_date	latest_version_edited_by	DESCRIPTION	family	suffix_code	direction	instances_30d	instances_7d	instances_48h	instances_live	instances_restore	runs_status_0	runs_status_1	runs_status_other	is_active_30d	distinct_versions_seen_running	distinct_nodes_seen	earliest_start_30d	latest_start_30d	avg_duration_seconds	max_duration_seconds	velocity_tier	wfd_status	wfd_type	PERSISTENCE_LEVEL	RECOVERY_LEVEL	ONFAULT	DOCTRACKING	EVENT_LEVEL	CATEGORY	ENCODING	LIFE_SPAN	REMOVAL_METHOD
800	FA_CLIENTS_VITAL	9	9	2021-11-16 10:22:53.000	rbmakram	REMOVED THE ACCOUNTS ADD INTO ANOTHER BP	FA_CLIENTS	NULL	NULL	10179	3812	3799	3812	6367	10165	14	0	1	1	1	2026-03-26 11:47:29.857	2026-04-24 10:53:34.010	285.386580	428799	Tier 1 (high-volume sub-workflow)	1	1	0	3	false	false	2	NULL	None	-1	0
795	FA_CLIENTS_ARCHIVE	12	12	2023-06-08 10:43:18.697	rbmakram	ADD - BDL ARCHIVE	FA_CLIENTS	NULL	NULL	10167	3959	3958	3959	6208	10167	0	0	1	1	1	2026-03-27 02:06:44.580	2026-04-24 10:53:34.167	1.014065	642	Tier 1 (high-volume sub-workflow)	1	1	0	3	false	false	2	NULL	None	-1	0
798	FA_CLIENTS_MAIN	48	48	2026-04-06 01:02:05.560	vxbandekar	FIPB-1034 - Updated FA_CLIENTS_ARCHIVE to run in INLINE mode.	FA_CLIENTS	NULL	NULL	6153	2370	2362	2370	3783	6122	31	0	1	2	1	2026-03-27 01:50:04.983	2026-04-24 10:56:02.320	300.053794	64376	Tier 2 (infrastructure/dispatcher)	1	1	0	3	false	false	0		UTF8	-1	0
789	FileGatewayListeningProducer	1	1	2021-03-23 09:44:56.523	NULL	created via command line	FileGateway	NULL	NULL	1442	578	575	578	864	1442	0	0	1	1	1	2026-03-27 01:56:35.490	2026-04-24 10:53:46.017	2.185159	565	Tier 2 (infrastructure/dispatcher)	1	204	0	4	TRUE	true	2	NULL	NULL	-1	-1
791	FileGatewayReroute	2	2	2021-03-23 09:44:58.507	admin	FileGatewayReroute	FileGateway	NULL	NULL	1442	578	575	578	864	1442	0	0	1	1	1	2026-03-27 01:56:33.427	2026-04-24 10:53:46.017	2.187239	565	Tier 2 (infrastructure/dispatcher)	1	1	0	3	false	false	2	NULL	None	-1	0
3	Schedule_AssociateBPsToDocs	4	4	2022-11-09 08:37:03.953	admin	updated by archive manager	Schedule	NULL	NULL	721	289	287	289	432	721	0	0	1	1	1	2026-03-27 01:56:20.740	2026-04-24 10:48:43.100	5.854368	671	Tier 3 (scheduled puller/pusher)	1	101	3	3	false	false	2	NULL	NULL	-1	0
11	Schedule_IndexBusinessProcessService	4	4	2022-11-09 08:37:04.170	admin	updated by archive manager	Schedule	NULL	NULL	721	289	287	289	432	718	3	0	1	1	1	2026-03-27 01:56:19.770	2026-04-24 10:48:42.250	9.119278	2167	Tier 3 (scheduled puller/pusher)	1	101	3	3	false	false	2	NULL	NULL	-1	0
1352	FA_FROM_CLIENTS_FTP_FILES_LIST_IB_D2S_RC_ARC	1	1	2024-09-23 17:20:19.273	mxkellogg	FA_FROM_CLIENTS_FTP_FILES_LIST_IB_D2S_RC_ARC	FA_FROM	ARC	inbound	688	276	274	276	412	688	0	0	1	1	1	2026-03-27 02:06:00.983	2026-04-24 10:56:00.367	23.655523	791	Tier 3 (scheduled puller/pusher)	1	1	0	3	false	false	2		NULL	-1	0
1321	FA_FROM_CLIENTS_FTP_FILES_LIST_IB_D2S_RC	1	1	2024-08-06 10:11:50.487	mzgonal	First_Load	FA_FROM	RC	inbound	656	263	262	263	393	656	0	0	1	1	1	2026-03-27 02:03:00.857	2026-04-24 10:53:00.967	9.225609	573	Tier 3 (scheduled puller/pusher)	1	1	0	3	false	false	2		NULL	-1	0
794	FA_CLIENTS_EMAIL	24	24	2024-08-13 14:37:34.557	rbmakram	FIX - FILE RENAME	FA_CLIENTS	NULL	NULL	620	233	233	233	387	619	1	0	1	1	1	2026-03-27 04:58:53.470	2026-04-24 10:26:52.383	3.659677	600	Tier 3 (scheduled puller/pusher)	1	1	0	3	false	false	2	NULL	None	-1	0
6	Schedule_BPExpirator	1	1	2021-03-23 08:59:33.383	NULL	Schedule_BPExpirator	Schedule	NULL	NULL	481	193	192	193	288	481	0	0	1	1	1	2026-03-27 02:06:16.047	2026-04-24 10:46:38.960	3.972972	390	Tier 3 (scheduled puller/pusher)	1	101	3	3	false	false	2	NULL	NULL	-1	-1
18	TimeoutEvent	1	1	2021-03-23 09:00:33.947	NULL	created via command line	Sterling_Infra	NULL	NULL	481	193	192	193	288	481	0	0	1	1	1	2026-03-27 02:06:16.060	2026-04-24 10:46:38.960	0.143451	18	Tier 3 (scheduled puller/pusher)	1	104	0	3	false	false	2	NULL	NULL	-1	-1
8	Schedule_PurgeService	4	4	2022-11-09 08:37:04.217	admin	updated by archive manager	Schedule	NULL	NULL	360	144	144	144	216	360	0	0	1	1	1	2026-03-27 02:11:46.487	2026-04-24 10:45:51.750	15.300000	381	Tier 3 (scheduled puller/pusher)	1	101	3	3	false	false	2	NULL	NULL	-1	0
