"WFD_ID","WFD_VERSION","NAME","family_folder","file_name","relative_path","compressed_bytes","decompressed_bytes","preamble_bytes","data_id","mod_date","edited_by","status","error"
"696","2","AFTPurgeArchiveMailboxes","11_AFT_FILE_REMOVE","AFTPurgeArchiveMailboxes__v002.bpml.xml","11_AFT_FILE_REMOVE\AFTPurgeArchiveMailboxes__v002.bpml.xml","1382","3236","7","756:3440:1785f778bc8:FA-INT-APPP:node1","3/23/2021 9:34:52 AM","","OK",""
"682","1","Alert","08_Sterling_Infra","Alert__v001.bpml.xml","08_Sterling_Infra\Alert__v001.bpml.xml","386","1545","7","627:234:1785f6b7f37:FA-INT-APPP:node1","3/23/2021 9:09:50 AM","","OK",""
"683","2","AlertNotification","08_Sterling_Infra","AlertNotification__v002.bpml.xml","08_Sterling_Infra\AlertNotification__v002.bpml.xml","2011","7153","7","191:3252:1785f778bc8:FA-INT-APPP:node1","3/23/2021 9:33:50 AM","","OK",""
"773","2","CheckActiveSessionService","08_Sterling_Infra","CheckActiveSessionService__v002.bpml.xml","08_Sterling_Infra\CheckActiveSessionService__v002.bpml.xml","191","359","7","812:1551:1785f778bc8:FA-INT-APPP:node1","3/23/2021 9:30:27 AM","fg_sysadmin","OK",""
"32","2","CheckExpireCertsEmailNotif","08_Sterling_Infra","CheckExpireCertsEmailNotif__v002.bpml.xml","08_Sterling_Infra\CheckExpireCertsEmailNotif__v002.bpml.xml","496","1555","7","141:391:1785f778bc8:FA-INT-APPP:node1","3/23/2021 9:25:28 AM","","OK",""
"685","2","EmailOnError","08_Sterling_Infra","EmailOnError__v002.bpml.xml","08_Sterling_Infra\EmailOnError__v002.bpml.xml","965","4581","7","897:3291:1785f778bc8:FA-INT-APPP:node1","3/23/2021 9:33:50 AM","","OK",""
"1545","1","FA_AMSURG_MHS_IB_BD_NB","05_FA_OTHER","FA_AMSURG_MHS_IB_BD_NB__v001.bpml.xml","05_FA_OTHER\FA_AMSURG_MHS_IB_BD_NB__v001.bpml.xml","352","833","7","FA-INT-APPP:node1:19ced66940d:84244280","4/10/2026 9:18:11 AM","jcknox","OK",""
"1310","3","FA_ARNOT_HEALTH_IB_EO_NB","05_FA_OTHER","FA_ARNOT_HEALTH_IB_EO_NB__v003.bpml.xml","05_FA_OTHER\FA_ARNOT_HEALTH_IB_EO_NB__v003.bpml.xml","369","945","7","FA-INT-APPP:node1:192cee0056d:173120017","1/7/2025 2:00:38 AM","vxbandekar","OK",""
"1417","1","FA_B2B_CLIENTS_PLACEMENT_EMAILS_OB_BDEO_S2S_RPT","06_FA_Specialized","FA_B2B_CLIENTS_PLACEMENT_EMAILS_OB_BDEO_S2S_RPT__v001.bpml.xml","06_FA_Specialized\FA_B2B_CLIENTS_PLACEMENT_EMAILS_OB_BDEO_S2S_RPT__v001.bpml.xml","354","808","7","FA-INT-APPP:node1:192cee0056d:266296407","2/11/2025 11:41:53 PM","glgaonkar","OK",""
"1067","1","FA_CARILION_CLINIC_DENTAL_CARE_IB_BD","05_FA_OTHER","FA_CARILION_CLINIC_DENTAL_CARE_IB_BD__v001.bpml.xml","05_FA_OTHER\FA_CARILION_CLINIC_DENTAL_CARE_IB_BD__v001.bpml.xml","347","799","7","FA-INT-APPP:node1:18938d01a04:3234908","7/11/2023 3:18:58 PM","csbernal","OK",""
"927","3","FA_CCI_SFTP_FILE_LIST_EMAIL","05_FA_OTHER","FA_CCI_SFTP_FILE_LIST_EMAIL__v003.bpml.xml","05_FA_OTHER\FA_CCI_SFTP_FILE_LIST_EMAIL__v003.bpml.xml","764","2927","7","FA-INT-APPP:node1:183bae7f31c:1586695","10/14/2022 8:19:30 AM","rbmakram","OK",""
"817","1","FA_CLIENTS_ACCOUNTS_LOAD","01_FA_CLIENTS","FA_CLIENTS_ACCOUNTS_LOAD__v001.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_ACCOUNTS_LOAD__v001.bpml.xml","535","2146","7","FA-INT-APPP:node1:17d1cd2abcd:248676","11/16/2021 10:22:42 AM","rbmakram","OK",""
"826","3","FA_CLIENTS_ADDRESS_CHECK","01_FA_CLIENTS","FA_CLIENTS_ADDRESS_CHECK__v003.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_ADDRESS_CHECK__v003.bpml.xml","819","2617","7","FA-INT-APPP:node1:1810dfa2588:219632","5/31/2022 8:28:48 AM","pskorth","OK",""
"795","12","FA_CLIENTS_ARCHIVE","01_FA_CLIENTS","FA_CLIENTS_ARCHIVE__v012.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_ARCHIVE__v012.bpml.xml","610","2445","7","FA-INT-APPP:node1:1888783d0ef:2791952","6/8/2023 10:43:18 AM","rbmakram","OK",""
"1171","1","FA_CLIENTS_CNSMR_ACCNT_AR_IB_BDEO_S2X_BDL","01_FA_CLIENTS","FA_CLIENTS_CNSMR_ACCNT_AR_IB_BDEO_S2X_BDL__v001.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_CNSMR_ACCNT_AR_IB_BDEO_S2X_BDL__v001.bpml.xml","347","803","7","FA-INT-APPP:node1:18c4b3db757:3320108","12/13/2023 10:15:51 AM","rbmakram","OK",""
"1170","1","FA_CLIENTS_CNSMR_TAG_IB_BDEO_S2X_BDL","01_FA_CLIENTS","FA_CLIENTS_CNSMR_TAG_IB_BDEO_S2X_BDL__v001.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_CNSMR_TAG_IB_BDEO_S2X_BDL__v001.bpml.xml","345","798","7","FA-INT-APPP:node1:18c4b3db757:3320100","12/13/2023 10:15:22 AM","rbmakram","OK",""
"793","31","FA_CLIENTS_COMM_CALL","01_FA_CLIENTS","FA_CLIENTS_COMM_CALL__v031.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_COMM_CALL__v031.bpml.xml","1519","7875","7","FA-INT-APPP:node1:195ddbd9955:106279326","4/30/2025 9:46:35 AM","vxbandekar","OK",""
"804","11","FA_CLIENTS_DUP_CHECK","01_FA_CLIENTS","FA_CLIENTS_DUP_CHECK__v011.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_DUP_CHECK__v011.bpml.xml","1037","3685","7","FA-INT-APPP:node1:188186bf18f:2278374","5/17/2023 12:09:32 PM","rbmakram","OK",""
"794","24","FA_CLIENTS_EMAIL","01_FA_CLIENTS","FA_CLIENTS_EMAIL__v024.bpml.xml","01_FA_CLIENTS\FA_CLIENTS_EMAIL__v024.bpml.xml","1756","11942","7","FA-INT-APPP:node1:19114217150:34346341","8/13/2024 2:37:34 PM","rbmakram","OK",""
